crc,rndinten,expinten
103878625,0,.94004798
103880637,0,.97963142
103884785,0,.97607654
103886537,0,.125
103887724,0,.57755774
103889682,0,.48435619
103900562,0,.95711297
10390730X,0,.83168316
103915975,0,.14989138
103916740,0,.68525517
103924732,0,.55418718
103924820,0,.23455447
103925612,0,.9229188
103925647,0,.99993807
103926885,0,.42929578
103928880,0,.99502409
103929752,0,.33402923
103929787,0,.17524752
103932863,0,.50390536
103933612,0,.69165379
103933751,.0024700416,.32012716
103937955,0,.83032489
103943407,0,.72440946
103944274,0,.94059408
103949497,0,.58603567
103955125,0,.029999999
103963184,0,.82040519
10399516X,0,.70183486
103995637,0,.95783925
103995901,0,.99873221
103995995,0,.85176468
103996509,0,.31808543
103999195,0,.99360001
10400089X,0,.78895462
10400097X,0,.19429265
104001462,0,1
104008197,0,.70431727
104011476,0,.15554281
104031784,0,.040421791
104033034,0,.708
104034168,0,.82019705
10403714X,0,.9510237
104037406,0,.66460586
104038118,0,1
104038820,0,.61872911
104038863,0,.64995784
104039559,0,.86095661
104044358,0,.74285716
104044382,0,.6232
104044390,0,.79166669
104045457,0,.77155173
104046206,0,1
104047567,0,.48399687
104051021,0,.35393938
104052163,0,.78087652
