crc,indtype,rndinten,expinten
101886832,2311,0,0
101891869,4242,.0048595294,.15820046
101891877,2311,0,0
101892247,4065,0,0
101892490,3434,0,0
101892562,2230,0,0
101894648,3487,0,0
101894787,1522,0,0
101895587,4229,.23267974,0
101896002,2652,0,0
101896280,3652,.050994195,0
101896934,3121,.028709549,0
101897021,2311,0,0
101897750,1312,0,0
101900104,3515,0,0
10190210X,2311,0,0
101902249,3727,0,0
101902556,4223,0,0
101903524,3511,0,0
101903567,3410,0,0
101904252,3717,0,0
101904519,2685,0,0
101906055,4216,0,0
101906100,1491,0,0
101906186,4091,0,0
101907971,4223,.0014297498,0
101908018,3450,0,0
101908755,2230,0,0
101909168,1342,0,0
101909942,2311,0,0
101910281,4029,0,0
101912877,2311,0,0
101913351,2672,0,0
101913909,4254,.00035100034,.0056160055
101914426,4214,.0025881592,0
101915568,1810,0,.7141996
101918646,2311,0,0
101919921,4069,.0010360904,0
101920068,3541,0,0
101921044,2311,0,0
101921183,2311,0,0
101921378,4112,0,0
101921773,3726,0,0
101921781,2311,0,0
101921917,4213,0,0
10192216X,4151,0,0
101922696,3431,0,0
101923621,2311,0,0
101925694,2520,0,0
101926523,1314,0,.99694151
101927040,4143,.029689863,0
101927702,3499,0,0
101927796,4211,0,0
101927905,2311,0,0
101928027,1522,0,0
10192806X,2033,0,0
101929273,3169,0,0
101929281,3621,.020101547,0
101929433,4171,.075364731,0
101929687,3678,0,0
101930418,2311,0,0
101930557,3679,0,0
101931138,3677,0,0
101931154,3410,0,0
101932288,3511,0,0
101932472,1773,0,0
101932771,3410,0,0
10193307X,1412,0,0
10193323X,1312,0,0
101934283,3383,0,0
101934427,3515,0,0
10193462X,1420,0,0
101935104,3631,0,0
101935390,2311,0,0
10193550X,3515,0,0
101936449,1810,0,0
101936510,1921,0,0
101937249,4024,0,0
101937257,1810,0,0
101937775,3442,0,0
101937783,1810,0,0
101938292,3491,0,0
101938348,1491,0,0
101938997,3010,0,0
101939631,2720,.024960548,.030044392
101940616,2311,0,0
101940827,4143,.055839293,0
101941862,4024,0,0
101942400,2750,0,0
10194414X,3653,.048052114,0
101944692,4211,0,0
101945134,4190,.024995796,0
101945388,3678,0,0
101945644,4073,0,0
101945759,4111,0,0
101946735,2677,.04055072,0
101948837,3652,.040605828,0
101951075,4217,0,0
101951374,3469,0,0
10195169X,3135,0,0
101951710,4119,0,.028158598
101951796,4160,0,0
101952107,3621,0,.043982483
101954006,2663,0,0
101955295,3190,0,0
101955738,3645,0,0
101956327,4029,.0050077392,0
10195716X,4029,0,0
101957362,3050,0,0
10195740X,4049,0,0
101958648,2312,0,0
101958891,2429,0,0
101959800,1414,0,0
101959915,1390,0,0
101960537,3511,0,0
101960799,1314,0,0
101962129,2230,0,0
101963340,4242,0,0
101963543,3110,0,0
101965514,2130,0,0
101967130,3782,0,0
101970364,2230,0,0
10197201X,4143,.0032322558,0
101974197,1420,0,0
10197471X,3617,.008332327,0
101978251,3511,0,0
101978454,2311,0,0
101983595,3636,0,0
101983616,3562,0,0
10198394X,2311,0,0
101989233,2190,0,0
101989495,2311,0,0
101991405,3621,0,0
